Gene,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean
LOC109632292,4.475614898,0.784066789,5.708206192,1.14E-08,0.000108944,239.0422022
LOC109629024,3.00792199,0.551045437,5.45857345,4.80E-08,0.000228996,130.9753551
LOC109644348,4.246102984,0.86157457,4.928305837,8.29E-07,0.002638226,127.5123298
ulk2,2.366966086,0.486288153,4.867414661,1.13E-06,0.002697228,839.1750823
LOC109643392,2.106577667,0.45362753,4.64384881,3.42E-06,0.006526305,6113.961228
LOC109637784,2.811032744,0.610681693,4.60310629,4.16E-06,0.006619534,93.24229891
LOC109641900,1.793690158,0.402097545,4.4608334,8.16E-06,0.011091595,205.2236692
angptl3,2.329852193,0.525586831,4.432858773,9.30E-06,0.011091595,430.6459946
LOC109626020,1.22252537,0.279745141,4.370139787,1.24E-05,0.013164464,1774.291631
LOC109644593,1.589277174,0.366239495,4.339447805,1.43E-05,0.013629906,363.8568763
LOC109640890,1.817957863,0.446105657,4.075173301,4.60E-05,0.033749388,124.7722252
LOC109646467,3.074163342,0.752092639,4.087479629,4.36E-05,0.033749388,180.3232152
gadd45g,2.222307571,0.542466123,4.096675306,4.19E-05,0.033749388,1213.861872
LOC109632575,2.356108966,0.588481187,4.00371162,6.24E-05,0.039666966,232.8984542
cxcr4,2.266207763,0.565982775,4.004022499,6.23E-05,0.039666966,89.86783864
jun,2.295868759,0.575979623,3.986024272,6.72E-05,0.040070222,455.5991564
LOC109636810,5.89290905,1.501464345,3.924774551,8.68E-05,0.048726504,135.9471395
LOC109634790,5.848052244,1.534367402,3.811376752,0.000138195,0.062793155,330.2592935
LOC109639577,2.160928762,0.56687897,3.81197553,0.000137861,0.062793155,604.2715232
LOC109643378,-1.780447753,0.466924427,-3.813139019,0.000137213,0.062793155,160.2208059
cunh14orf180,1.032776363,0.270290081,3.820992463,0.000132916,0.062793155,574.3467493
LOC109629271,1.791872784,0.471775539,3.798146867,0.000145782,0.063229603,128.3661176
LOC109636704,1.844356277,0.496409399,3.715393544,0.000202888,0.074459776,757.7515392
hps6,1.609830241,0.432733411,3.720143165,0.00019911,0.074459776,107.447545
klf15,2.730399014,0.733737984,3.721218031,0.000198264,0.074459776,752.7717311
soat1,2.460790209,0.659732877,3.729979655,0.000191495,0.074459776,251.1467399
LOC109643760,2.696998584,0.733454427,3.67711815,0.000235884,0.083363083,441.0920581
ell,1.60210123,0.438879047,3.650439088,0.000261792,0.089215106,136.1411944
LOC109625787,2.370630768,0.655495533,3.616547556,0.000298558,0.098236037,182.5661462
LOC109639927,1.466800752,0.407501668,3.599496316,0.000318834,0.099540907,660.9859496
tor3a,2.003536281,0.557186884,3.595806611,0.000323388,0.099540907,666.6511774
pdp1,1.235539641,0.346314202,3.567684009,0.00036015,0.107392364,960.6158321
LOC109628943,-1.757178796,0.498131351,-3.527541067,0.000419439,0.121281333,1026.536234
LOC109628908,1.45686406,0.416270119,3.499804559,0.000465599,0.126935697,73.11188339
lonp1,2.26620253,0.646840756,3.503493728,0.000459197,0.126935697,409.8581732
LOC109639715,2.123584447,0.61109453,3.475050658,0.000510757,0.133927457,317.7547053
cunh3orf52,1.274460607,0.367217276,3.47059,0.000519316,0.133927457,176.0493874
LOC109632273,1.595827098,0.461573666,3.457361665,0.000545492,0.136975969,614.8121195
zbtb21,1.983811992,0.579362444,3.424129425,0.000616772,0.150903646,175.047209
LOC109626036,2.3997762,0.71183575,3.371249898,0.000748279,0.160591423,80.78846143
LOC109626295,7.143962061,2.124411813,3.362795301,0.000771576,0.160591423,1083.753955
LOC109633033,3.111906057,0.924166043,3.367258602,0.000759195,0.160591423,78.79745924
LOC109636635,2.514645423,0.743502546,3.382161144,0.000719179,0.160591423,111.732954
LOC109646207,-1.325496236,0.394049102,-3.363784437,0.000768816,0.160591423,301.6570521
stbd1,1.162166536,0.345672729,3.362042871,0.000773681,0.160591423,3933.513472
tet3,1.641195105,0.488179865,3.361865621,0.000774178,0.160591423,300.7563589
LOC109625463,1.858817364,0.569571093,3.263538803,0.001100301,0.169339898,247.4698138
LOC109631400,1.310444706,0.400780146,3.269734591,0.001076484,0.169339898,340.5474081
LOC109632994,4.071826056,1.246329713,3.267053665,0.001086731,0.169339898,370.3317737
LOC109633928,0.981888698,0.29754361,3.299982472,0.000966909,0.169339898,523.1680603
LOC109634651,4.169530545,1.276913876,3.265318534,0.00109341,0.169339898,779.6562987
LOC109635342,1.252821616,0.377976289,3.314550816,0.000917905,0.169339898,435.6864552
LOC109636579,1.287653057,0.391083455,3.292527563,0.000992912,0.169339898,149.8474374
LOC109647058,1.694541793,0.517603389,3.273822834,0.001061031,0.169339898,100.4716492
cebpa,1.664119938,0.506393611,3.286218272,0.001015423,0.169339898,2662.596075
map3k8,1.643618319,0.501267436,3.278924986,0.001042033,0.169339898,185.1064981
ppp1r3b,2.199908349,0.661685017,3.324706306,0.000885117,0.169339898,414.4398619
rad9b,2.646317989,0.796784818,3.321245497,0.000896167,0.169339898,221.7739775
stard5,2.097767233,0.637156902,3.292387207,0.000993407,0.169339898,381.9563164
tada1,1.651777099,0.498694611,3.312201618,0.000925648,0.169339898,108.9617217
txnip,1.746336895,0.530885091,3.289481896,0.00100372,0.169339898,2746.320803
wnt9a,-1.734686112,0.526784717,-3.292969702,0.000991352,0.169339898,108.3733726
LOC109631051,2.042398435,0.62841068,3.250101406,0.001153639,0.174730474,66.39595335
LOC109636958,1.769969385,0.545856652,3.242553477,0.001184637,0.176621993,139.9996622
LOC109629332,1.106936593,0.343684956,3.220788612,0.001278384,0.18476906,1014.98641
LOC109630335,1.359018239,0.423118838,3.211906724,0.001318572,0.18476906,1360.236716
LOC109634026,1.330300652,0.414667919,3.208110853,0.0013361,0.18476906,251.5234052
LOC109646299,5.930783156,1.84695993,3.211105482,0.001322254,0.18476906,139.514684
atf3,5.014660362,1.562874051,3.208614513,0.001333762,0.18476906,409.9232739
LOC109646510,1.77802258,0.555022086,3.203516804,0.001357601,0.185060434,610.3658778
LOC109630232,-1.057249244,0.330679761,-3.197199737,0.001387688,0.18649745,790.6363665
cidec,-1.557534847,0.488206192,-3.190321781,0.001421145,0.18834114,76.04981141
LOC109633328,1.828597354,0.577055546,3.168841139,0.00153048,0.197349221,164.2997085
dusp8,2.657523922,0.838111156,3.170849,0.001519941,0.197349221,165.8999732
LOC109635822,2.292179528,0.724955722,3.161820037,0.001567864,0.199078494,744.1371607
flcn,1.551635795,0.491251024,3.158539564,0.001585618,0.199078494,180.0457918
LOC109629651,-1.171897221,0.371974779,-3.150474948,0.001630052,0.201999475,181.2874084
LOC109624653,2.127174991,0.677393629,3.140234719,0.001688125,0.206513984,192.6321134
aptx,2.28441226,0.729287881,3.132387522,0.001733909,0.209429809,107.9969294
mgea5,-1.618919746,0.51960768,-3.115657851,0.001835351,0.218911477,144.6961069
LOC109639910,-1.187023864,0.383257744,-3.097194726,0.001953615,0.230140668,154.9391235
LOC109631494,1.762577667,0.571588029,3.08365042,0.002044777,0.235075461,256.7951547
