Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC109629024,278.0948664,2.800295971,0.511196583,5.477923882,4.30E-08,0.000751211
LOC109626020,3964.705143,1.209459445,0.255734059,4.729363971,2.25E-06,0.003276263
LOC109632292,587.1557551,4.219935552,0.848167935,4.97535379,6.51E-07,0.003276263
LOC109636810,290.3700905,4.836956657,0.995105388,4.860748132,1.17E-06,0.003276263
LOC109637784,219.709086,2.960509601,0.625968521,4.729486392,2.25E-06,0.003276263
ulk2,1957.693423,2.303395701,0.483463702,4.764361192,1.89E-06,0.003276263
LOC109641900,449.2658185,1.835299638,0.37614666,4.879212902,1.07E-06,0.003276263
LOC109643392,13293.63808,2.115778251,0.447099452,4.732231813,2.22E-06,0.003276263
LOC109644593,787.9046543,1.594538116,0.336444536,4.739378846,2.14E-06,0.003276263
LOC109646396,16731.01015,3.478135797,0.730968398,4.758257409,1.95E-06,0.003276263
kcne1,31.06835766,20.99415263,4.408981188,4.761678886,1.92E-06,0.003276263
bco2,36.90963695,21.2364332,4.408727534,4.816907607,1.46E-06,0.003276263
LOC109644348,315.1718393,3.976469597,0.852055804,4.666912168,3.06E-06,0.004105651
LOC109647435,19.0004832,20.31095821,4.409995227,4.605664442,4.11E-06,0.0047847
LOC109626088,19.77077305,20.36249369,4.409893522,4.617456995,3.88E-06,0.0047847
LOC109633427,34.78258169,8.381125708,1.872156985,4.476721651,7.58E-06,0.008269558
angptl3,976.3321967,2.25112241,0.511679159,4.399480356,1.09E-05,0.010523097
LOC109640890,286.1150724,1.61003702,0.365444621,4.405693583,1.05E-05,0.010523097
LOC109632994,800.0280121,3.916662957,0.897205558,4.36540202,1.27E-05,0.011657776
LOC109630364,2356.573265,3.291843297,0.775097135,4.247007435,2.17E-05,0.018908756
LOC109646207,665.6675656,-1.402809091,0.334979438,-4.187746867,2.82E-05,0.023419094
cunh14orf180,1230.845253,0.976666103,0.234487094,4.165116657,3.11E-05,0.024691782
neurod2,26.70228107,7.995126971,1.931752509,4.13879466,3.49E-05,0.026497848
cxcr4,218.4718971,2.349237805,0.582173181,4.035290327,5.45E-05,0.039664994
p4ha2,838.5776513,3.638465351,0.904047348,4.024640256,5.71E-05,0.039843304
ell,312.6962885,1.482862352,0.373389778,3.971352292,7.15E-05,0.047686844
LOC109646726,31.41188523,8.230839029,2.076490884,3.963821412,7.38E-05,0.047686844
gadd45g,2526.544909,2.177087371,0.551458748,3.947869861,7.88E-05,0.049157121
LOC109634790,802.2086174,5.893495699,1.498611985,3.932636171,8.40E-05,0.050573858
LOC109632575,541.1158833,2.321151712,0.59371617,3.909530896,9.25E-05,0.050744428
dennd3,15.23360384,7.184313199,1.841819766,3.900660276,9.59E-05,0.050744428
pdp1,2239.021623,1.370301392,0.350046448,3.914627327,9.05E-05,0.050744428
LOC109636704,1946.584709,1.890861921,0.484716938,3.900961102,9.58E-05,0.050744428
LOC109636186,13.74887375,7.039897248,1.81601074,3.876572474,0.000105938,0.054389951
LOC109636958,339.3133457,1.850753186,0.4788205,3.865233812,0.000110983,0.055351894
jun,1038.868359,2.318327894,0.610760883,3.795802842,0.000147166,0.061759922
LOC109646467,422.0642298,2.837668665,0.74513707,3.808250562,0.000139953,0.061759922
tor3a,1556.435487,2.050392482,0.538513914,3.8075014,0.000140378,0.061759922
kif20a,13.95249852,7.071081918,1.853455179,3.815081152,0.000136138,0.061759922
LOC109641488,12.34214474,6.884284973,1.799497453,3.825670863,0.000130416,0.061759922
LOC109642598,97.07835098,3.59902758,0.947980625,3.796520185,0.000146741,0.061759922
LOC109643303,14.93743079,7.155246212,1.886234741,3.793401774,0.000148597,0.061759922
LOC109636368,60.03552672,3.8558762,1.01866404,3.785228542,0.000153567,0.062341215
LOC109641811,127.0565999,10.25072727,2.713572408,3.777576468,0.000158362,0.062826481
LOC109641744,16.19907635,7.272246679,1.930808143,3.766426356,0.000165601,0.06423843
tmprss15,19.63960697,7.556092036,2.014918475,3.75007333,0.000176783,0.067085255
LOC109630232,1884.962836,-0.967926702,0.258523643,-3.744054857,0.000181074,0.067251688
elovl7,19.78389845,7.56224776,2.033469308,3.718889549,0.000200101,0.072769889
sema5a,57.5652889,3.24427112,0.884753208,3.666865619,0.000245542,0.087472995
LOC109643760,1000.58259,2.620190111,0.718671305,3.645881077,0.000266477,0.093032519
LOC109625268,11.06024747,6.724507986,1.849871503,3.635121669,0.000277849,0.095100792
bok,10.70603045,6.678355113,1.846919577,3.615942565,0.000299257,0.098324148
LOC109628908,155.8319664,1.428386391,0.395142086,3.61486777,0.000300501,0.098324148
LOC109639577,1507.287034,2.150810986,0.596044596,3.608473259,0.000308004,0.098324148
LOC109639927,1825.531158,1.457845085,0.404174837,3.606966473,0.000309798,0.098324148
LOC109630316,6307.522821,0.722676937,0.200923458,3.596777319,0.000322184,0.100429377
LOC109625787,382.7473224,2.54651911,0.711688016,3.578139651,0.000346049,0.103626198
snx24,2126.05341,2.019655119,0.564909683,3.575182332,0.000349984,0.103626198
stbd1,8980.089438,1.169949424,0.32726002,3.574984272,0.000350249,0.103626198
LOC109626295,2605.051377,7.208121234,2.045535558,3.523830816,0.000425356,0.117381796
LOC109625845,544.5557246,3.11884282,0.884628795,3.52559496,0.000422533,0.117381796
cidec,260.8025403,-1.477046365,0.417899962,-3.534449631,0.000408625,0.117381796
LOC109630335,3096.465996,1.454129867,0.413019672,3.520727861,0.000430364,0.117381796
tet3,702.9019162,1.709786825,0.485343895,3.522835755,0.000426956,0.117381796
klf15,1707.088159,2.682169134,0.763507137,3.512958824,0.000443146,0.119008602
LOC109633928,1259.08723,0.882231758,0.251779983,3.503978945,0.000458362,0.121229697
LOC109628943,2489.080353,-1.662628986,0.477419621,-3.482531742,0.000496696,0.127719647
cenpn,9.903155452,6.573697889,1.887864675,3.482081092,0.000497533,0.127719647
LOC109629332,2277.328732,1.143496041,0.329583617,3.469517241,0.000521395,0.130020917
LOC109639715,660.637205,2.256097376,0.649576455,3.473182193,0.000514326,0.130020917
ice2,95.72861428,-1.788494751,0.518778838,-3.447509076,0.000565781,0.131683734
LOC109627067,7928.450787,2.612965969,0.756443929,3.454275816,0.000551773,0.131683734
LOC109631195,10.5453521,6.653141428,1.925249937,3.455728682,0.000548807,0.131683734
pptc7,2061.127866,2.697558586,0.781860931,3.450176979,0.000560219,0.131683734
LOC109638955,140.1363754,1.245228102,0.36077432,3.451543063,0.000557391,0.131683734
zbtb21,453.6735523,2.016638332,0.586307916,3.439555016,0.000582671,0.133830408
fam214b,321.486286,-0.938420141,0.27406579,-3.424068875,0.00061691,0.138061258
LOC109640382,18.69033272,7.480467064,2.18425768,3.424718215,0.000615437,0.138061258
elovl5,719.6665865,1.507065452,0.443035227,3.401683119,0.000669722,0.147939775
soat1,585.4599172,2.396671799,0.705957363,3.39492429,0.000686476,0.147939775
map3k8,383.9581644,1.656116592,0.487690641,3.395834269,0.000684198,0.147939775
tmem244,8.977119197,6.429867847,1.896368242,3.390621982,0.000697342,0.148448833
LOC109628946,54.82338362,-2.292548167,0.678054316,-3.381068617,0.000722045,0.150047848
LOC109625892,17.22667986,7.36201004,2.176845004,3.381963358,0.000719697,0.150047848
LOC109628090,319.8919877,-1.264163899,0.375083207,-3.370355895,0.000750712,0.153710661
LOC109625443,9.365814031,6.492326919,1.927676802,3.367954063,0.000757282,0.153710661
stard5,875.8161165,2.216110165,0.661313758,3.351072224,0.000804993,0.161516765
opn3,49.39828099,2.26320132,0.676970218,3.343132767,0.000828383,0.161890535
LOC109625638,788.0289643,-1.213865172,0.363216742,-3.341985736,0.000831813,0.161890535
LOC109643378,350.217138,-1.642243264,0.491709367,-3.339865728,0.000838189,0.161890535
cebpa,6747.647151,1.690766112,0.506526462,3.33796206,0.000843953,0.161890535
LOC109634278,11.01453694,6.714555036,2.01745048,3.328237844,0.000873972,0.165826719
LOC109630525,157.6111825,1.610015641,0.485427712,3.316694948,0.00091089,0.169154236
LOC109632273,1429.350714,1.518500346,0.457559357,3.318695861,0.000904389,0.169154236
LOC109647301,8.486038666,6.346910388,1.92108593,3.303813894,0.000953791,0.175256635
lonp1,854.5422193,2.166665431,0.656869581,3.298471253,0.000972128,0.176373003
LOC109635342,1092.610395,1.26634808,0.384786051,3.291044666,0.000998161,0.176373003
LOC109638975,973.7512172,2.674017534,0.812660793,3.290447327,0.001000282,0.176373003
LOC109643545,10.46678125,6.644992242,2.016807608,3.294807207,0.000984892,0.176373003
txnip,6633.29146,1.783332192,0.542733723,3.285832658,0.001016814,0.177495049
hps6,250.2210784,1.487851818,0.455180336,3.268708469,0.001080396,0.186726584
LOC109634026,560.4029534,1.33278019,0.408195898,3.265050423,0.001094446,0.18730047
g0s2,3420.939091,0.89279925,0.275334229,3.242601741,0.001184437,0.200733238
tmprss7,71.46639683,2.707105724,0.836211694,3.237344972,0.001206475,0.200855826
LOC109638706,8.141960737,6.284168834,1.941389628,3.236943653,0.001208173,0.200855826
LOC109629216,888.3327288,1.18264015,0.366911726,3.223228,0.001267546,0.208738547
mgea5,330.702479,-1.636486813,0.508335465,-3.219304819,0.001285018,0.209638089
LOC109629651,427.8813584,-1.263510923,0.394588707,-3.202096005,0.001364315,0.210756515
camsap2,10.90477626,6.700948727,2.091009088,3.204648303,0.001352276,0.210756515
LOC109637445,407.2243648,-0.893441652,0.278230669,-3.211154456,0.001322029,0.210756515
cish,673.9171683,-1.000511089,0.312349577,-3.203177349,0.001359203,0.210756515
tmcc3,159.159124,-1.02607506,0.319235259,-3.214165832,0.001308241,0.210756515
LOC109644382,7.776516799,-6.678355506,2.081535225,-3.20837977,0.001334851,0.210756515
LOC109626836,8.166050765,6.28555857,1.97089632,3.189187836,0.001426731,0.214698475
LOC109636635,272.9688489,2.439308589,0.764124341,3.192292744,0.001411482,0.214698475
atf3,1019.960408,5.207825169,1.631922281,3.191221317,0.001416727,0.214698475
LOC109641000,7.948422066,6.25717593,1.971158587,3.174364545,0.00150165,0.215537042
LOC109629271,272.0236716,1.592165527,0.50077448,3.17940628,0.001475771,0.215537042
prpf31,189.4906322,-0.978123402,0.308104754,-3.174645603,0.001500196,0.215537042
srsf5,1084.209835,-1.043876578,0.327688654,-3.185574368,0.00144467,0.215537042
LOC109640078,42.26812105,2.675052082,0.842947613,3.173449975,0.001506389,0.215537042
bin2,8.137028779,6.282837815,1.978092964,3.176209577,0.001492131,0.215537042
fosl1,177.8474155,2.864434921,0.905037436,3.164990538,0.00155088,0.218837487
ppp1r3b,999.2774096,2.18065964,0.689142928,3.164306778,0.001554528,0.218837487
LOC109637112,112.3898276,1.226975652,0.3880642,3.161785221,0.001568052,0.218975287
LOC109644835,8.015209832,6.270446594,1.985149185,3.158677767,0.001584866,0.219566859
bbs1,106.5713972,2.772784702,0.878584834,3.155966952,0.00159967,0.21987273
LOC109646510,1508.687352,1.784439269,0.566531058,3.149764245,0.001634023,0.222839837
flcn,393.8564193,1.512482439,0.482658993,3.133646036,0.00172649,0.233624857
myom1,9.328598609,6.476290294,2.075374712,3.120540237,0.001805196,0.237140774
LOC109630506,1060.305142,-0.761159721,0.243962711,-3.11998386,0.001808609,0.237140774
LOC109631051,126.6707814,2.100692214,0.67390526,3.117192189,0.001825825,0.237140774
LOC109634651,1802.589316,3.953804393,1.267135662,3.120269211,0.001806858,0.237140774
LOC109635822,1754.652702,2.255844191,0.723983535,3.115877753,0.001833983,0.237140774
LOC109637486,969.4565695,1.817290405,0.582526492,3.11966997,0.001810538,0.237140774
rbmx,608.0589358,0.861166067,0.277755354,3.100448126,0.001932281,0.247689766
rgcc,96.57427326,1.99403374,0.643513745,3.098665342,0.001943945,0.247689766
hook3,251.3158814,1.131779149,0.366578567,3.087412226,0.002019074,0.250178816
LOC109636712,19.15260583,3.16853915,1.026361471,3.087157147,0.002020807,0.250178816
LOC109640361,268.2261742,2.856332204,0.92501564,3.087874496,0.002015936,0.250178816
LOC109641845,96.60651019,2.242970306,0.725910394,3.089872145,0.002002427,0.250178816
wnt9a,260.9682327,-1.632093516,0.529534901,-3.082126436,0.002055275,0.252654111
