gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392
gene-KEF66_p01,20196,22016,18099,21498,17567
gene-KEF66_p02,2253,1945,2032,1984,2075
gene-KEF66_p03,2168,2131,2338,1804,2331
gene-KEF66_p04,4807,4587,5269,3870,5611
gene-KEF66_p05,401,391,404,224,530
gene-KEF66_p06,409,396,459,250,550
gene-KEF66_p07,20977,22767,18798,24228,21138
gene-KEF66_p08,6690,6383,7265,6299,6485
gene-KEF66_p09,642,439,798,412,471
gene-KEF66_p10,28842,31437,27209,32885,26012
gene-KEF66_p11,58493,65679,58689,74850,50570
gene-KEF66_p12,3350,2768,3129,1869,2990
gene-KEF66_p13,2461,2317,2664,2089,2900
gene-KEF66_r01,6060,4878,6527,7897,6365
gene-KEF66_r02,781,683,606,1438,922
gene-KEF66_t01,0,0,0,0,0
gene-KEF66_t02,0,0,0,0,0
gene-KEF66_t03,2,2,0,3,2
gene-KEF66_t04,20,16,3,10,26
gene-KEF66_t05,43,20,16,24,23
gene-KEF66_t06,1,0,1,2,3
gene-KEF66_t07,20,10,10,8,7
gene-KEF66_t08,16,10,12,17,15
gene-KEF66_t09,51,32,38,32,44
gene-KEF66_t10,426,237,232,210,413
gene-KEF66_t11,356,238,191,170,316
gene-KEF66_t12,4535,4319,4217,5212,3699
gene-KEF66_t13,25,34,9,4,24
gene-KEF66_t14,0,0,1,0,0
gene-KEF66_t15,0,0,0,0,0
gene-KEF66_t16,0,0,0,0,0
gene-KEF66_t17,0,0,0,0,0
gene-KEF66_t18,0,0,0,0,0
gene-KEF66_t19,0,0,0,0,0
gene-KEF66_t20,2,2,1,0,0
gene-KEF66_t21,0,0,1,0,0
gene-KEF66_t22,27,29,14,37,28
gene-LOC109623493,49,34,49,20,22
gene-LOC109623494,11,13,24,4,6
gene-LOC109623495,2,0,1,1,0
gene-LOC109623496,18,4,12,13,23
gene-LOC109623497,34,35,58,21,29
gene-LOC109623498,11,9,5,9,11
gene-LOC109623499,0,6,2,2,2
gene-LOC109623500,23,33,16,10,39
gene-LOC109623501,1,0,4,0,6
gene-LOC109623502,3,4,0,0,0
gene-LOC109623503,5575,5047,9763,4037,10089
gene-LOC109623504,27,22,42,0,29
gene-LOC109623505,181,133,269,142,184
gene-LOC109623506,18,12,20,6,6
gene-LOC109623507,0,0,0,0,0
gene-LOC109623508,3,0,0,0,0
gene-LOC109623509,272,321,527,270,431
gene-LOC109623510,0,0,0,0,0
gene-LOC109623512,2,6,0,0,2
gene-LOC109623513,22,14,24,4,36
gene-LOC109623514,63,62,151,38,104
gene-LOC109623515,0,0,0,2,0
gene-LOC109623516,12,10,14,7,5
gene-LOC109623517,2,1,0,0,3
gene-LOC109623518,41,31,55,37,31
gene-LOC109623519,9,7,6,3,6
gene-LOC109623520,21,29,38,22,23
gene-LOC109623521,0,0,0,0,0
gene-LOC109623522,13,5,3,0,6
gene-LOC109623523,0,0,0,4,0
gene-LOC109623524,2,6,2,4,10
gene-LOC109623525,31,24,11,18,17
gene-LOC109623526,51,65,86,39,62
gene-LOC109623528,0,3,0,0,0
gene-LOC109623529,28,29,67,12,31
gene-LOC109623530,0,0,0,0,0
gene-LOC109623531,18,19,14,7,20
gene-LOC109623532,2,2,1,3,2
gene-LOC109623533,4,2,3,2,2
gene-LOC109623534,2,2,32,1,0
gene-LOC109623535,463,362,415,281,286
gene-LOC109623536,54,54,42,22,36
gene-LOC109623537,2,10,3,2,7
gene-LOC109623538,22,26,9,4,22
gene-LOC109623539,3,0,0,0,2
gene-LOC109623540,8,2,10,0,3
gene-LOC109623541,51,37,27,20,47
gene-LOC109623542,369,207,366,239,259
gene-LOC109623543,9,4,8,2,5
gene-LOC109623545,34,35,25,18,46
gene-LOC109623546,184,135,161,123,133
gene-LOC109623547,208,153,222,118,186
gene-LOC109623548,0,0,0,0,1
gene-LOC109623549,82,57,78,60,64
gene-LOC109623550,0,0,1,0,2
gene-LOC109623551,29,34,49,19,39
gene-LOC109623552,0,4,4,0,0
gene-LOC109623554,42,13,24,42,11
gene-LOC109623555,0,0,0,0,0
gene-LOC109623556,0,0,8,7,0
gene-LOC109623557,128,108,205,131,170
gene-LOC109623558,21,9,27,7,17
gene-LOC109623559,0,0,0,0,0
gene-LOC109623560,0,0,2,0,0
gene-LOC109623561,2,2,9,6,6
gene-LOC109623562,0,1,2,0,2
gene-LOC109623563,1090,755,597,482,420
gene-LOC109623564,17,15,18,10,12
gene-LOC109623565,7394,7663,7909,6275,7094
gene-LOC109623566,0,0,4,2,0
gene-LOC109623567,70,39,49,32,52
gene-LOC109623568,2,2,3,0,1
gene-LOC109623569,2710,2392,2997,2165,2911
gene-LOC109623570,6,4,2,0,4
gene-LOC109623571,0,0,4,2,2
gene-LOC109623573,40,20,24,34,41
gene-LOC109623574,49,31,92,42,63
gene-LOC109623575,5,1,5,0,1
gene-LOC109623576,1,2,1,3,3
gene-LOC109623577,2,5,9,6,6
gene-LOC109623578,1140,813,564,510,721
gene-LOC109623579,52,50,54,64,53
gene-LOC109623580,0,0,1,2,5
gene-LOC109623581,92,87,96,44,82
gene-LOC109623582,25,40,38,46,18
gene-LOC109623583,0,0,2,0,0
gene-LOC109623585,22,17,70,64,25
gene-LOC109623586,32,9,16,23,2
gene-LOC109623587,16,24,26,17,25
gene-LOC109623588,2,0,1,0,2
gene-LOC109623589,105,78,93,35,118
gene-LOC109623590,12,37,44,39,14
gene-LOC109623592,9,14,31,16,29
gene-LOC109623593,19,10,34,33,29
gene-LOC109623594,0,3,10,5,2
gene-LOC109623597,0,0,2,0,0
gene-LOC109623598,13,22,11,4,17
gene-LOC109623599,0,0,0,0,0
gene-LOC109623600,1,1,1,0,0
gene-LOC109623601,0,7,7,10,5
gene-LOC109623602,14,10,15,11,13
gene-LOC109623603,2,0,0,0,0
gene-LOC109623604,30,28,35,22,35
gene-LOC109623605,0,0,0,2,0
gene-LOC109623606,212,200,220,131,199
gene-LOC109623608,16,7,10,6,12
gene-LOC109623609,0,3,16,10,0
gene-LOC109623610,18,26,20,18,24
gene-LOC109623611,0,0,0,0,0
gene-LOC109623612,65,115,56,63,78
gene-LOC109623613,1,0,0,4,2
gene-LOC109623614,0,0,0,0,0
gene-LOC109623615,2,6,2,2,2
gene-LOC109623616,65,54,73,29,64
gene-LOC109623617,0,0,0,0,0
gene-LOC109623618,0,0,0,0,0
gene-LOC109623619,11,14,11,2,10
gene-LOC109623620,42,40,104,57,81
gene-LOC109623621,11,13,17,12,15
gene-LOC109623622,389,224,231,79,281
gene-LOC109623623,23,30,26,16,17
gene-LOC109623624,22,14,16,1,10
gene-LOC109623625,4,0,0,2,0
gene-LOC109623626,0,2,2,0,3
gene-LOC109623628,0,0,0,0,4
gene-LOC109623629,7,9,9,1,6
gene-LOC109623630,22,33,22,15,4
gene-LOC109623631,12,10,13,6,4
gene-LOC109623632,5,1,9,2,1
gene-LOC109623633,1,3,7,2,8
gene-LOC109623634,198,182,189,87,222
gene-LOC109623635,40,23,54,34,34
gene-LOC109623636,16,19,24,15,14
gene-LOC109623638,1,8,6,0,2
gene-LOC109623639,27,22,25,20,28
gene-LOC109623640,0,0,0,0,0
gene-LOC109623641,873,1016,1002,798,926
gene-LOC109623642,0,0,0,0,0
gene-LOC109623643,2,0,0,0,0
gene-LOC109623644,11,8,24,7,17
gene-LOC109623645,6,6,4,2,5
gene-LOC109623646,0,1,0,0,2
gene-LOC109623647,11,4,4,5,7
gene-LOC109623648,70,79,118,27,74
gene-LOC109623649,24,21,31,16,16
gene-LOC109623650,8,9,14,5,10
gene-LOC109623651,15,8,8,10,17
gene-LOC109623652,2069,2029,1964,1935,1883
gene-LOC109623653,121,68,154,48,120
gene-LOC109623654,0,0,0,0,0
gene-LOC109623655,188,217,202,221,138
gene-LOC109623656,2,1,0,0,2
gene-LOC109623657,88,81,97,64,122
gene-LOC109623658,56,74,108,48,95
gene-LOC109623660,0,0,0,0,0
gene-LOC109623661,65,80,68,218,61
gene-LOC109623662,27,34,41,38,31
gene-LOC109623663,3,1,10,1,3
gene-LOC109623664,5,5,5,0,2
gene-LOC109623665,22,19,33,6,24
gene-LOC109623666,1,0,2,0,6
gene-LOC109623667,85,69,47,49,46
gene-LOC109623668,32,31,51,25,33
gene-LOC109623669,86,62,369,172,68
gene-LOC109623670,0,0,0,0,0
gene-LOC109623671,2,3,2,4,4
gene-LOC109623672,0,0,0,0,0
gene-LOC109623673,67,72,96,77,99
gene-LOC109623674,0,0,0,0,0
gene-LOC109623675,178,105,123,111,153
gene-LOC109623676,0,0,0,0,0
gene-LOC109623677,0,0,0,0,0
gene-LOC109623678,130,129,86,76,63
gene-LOC109623679,7,3,4,1,0
gene-LOC109623680,0,3,0,4,1
gene-LOC109623681,17,22,36,12,8
gene-LOC109623682,2,4,10,8,8
gene-LOC109623683,10,12,36,24,8
gene-LOC109623684,3,0,6,0,0
gene-LOC109623685,61,39,56,30,39
gene-LOC109623686,7646,5322,5896,7178,6396
gene-LOC109623688,0,0,0,0,0
gene-LOC109623689,4,12,4,6,0
gene-LOC109623690,0,0,0,0,0
gene-LOC109623691,1375,2124,2336,1619,2929
gene-LOC109623692,18,21,38,9,21
gene-LOC109623693,12,6,5,1,6
gene-LOC109623694,8,0,0,1,0
gene-LOC109623695,22,9,7,6,0
gene-LOC109623697,18,25,42,37,19
gene-LOC109623698,18,17,21,10,14
gene-LOC109623699,0,0,0,0,0
gene-LOC109623700,17,7,18,6,24
gene-LOC109623701,2,0,0,0,0
gene-LOC109623702,0,3,0,1,1
gene-LOC109623703,87,63,105,112,59
gene-LOC109623704,2,2,0,0,0
gene-LOC109623705,59,39,79,8,39
gene-LOC109623707,0,0,2,8,2
gene-LOC109623708,15,11,19,10,9
gene-LOC109623709,4,2,12,2,7
gene-LOC109623710,18,3,7,14,8
gene-LOC109623711,40,27,95,27,49
gene-LOC109623712,2,2,8,2,10
gene-LOC109623713,2,0,1,1,0
gene-LOC109623714,0,0,3,0,2
gene-LOC109623715,0,0,0,0,0
gene-LOC109623717,23,17,27,19,33
gene-LOC109623719,0,0,4,0,6
gene-LOC109623720,6,5,5,5,16
gene-LOC109623721,0,0,0,1,0
gene-LOC109623722,0,0,0,0,0
gene-LOC109623723,27,26,28,24,13
gene-LOC109623724,59,98,136,87,56
gene-LOC109623725,2,2,5,0,3
