gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392
gene-LOC109633196|LOC109633196,15,21,24,14,19
gene-LOC109628151|LOC109628151,565,458,533,262,561
gene-ikbkap|ikbkap,371,271,345,149,364
gene-arhgef37|arhgef37,60,55,45,19,41
gene-LOC109633255|LOC109633255,199,189,280,150,215
gene-pde6a|pde6a,29,8,12,28,33
gene-slc26a2|slc26a2,102,161,331,192,223
gene-LOC109628111|LOC109628111,103,114,172,289,99
gene-lman2|lman2,930,969,2239,1196,1498
gene-fat2|fat2,12,5,0,5,0
gene-LOC109627568|LOC109627568,481,316,662,604,594
gene-atox1|atox1,898,640,1649,1182,1075
gene-sparc|sparc,740,1018,1173,1004,946
gene-g3bp1|g3bp1,382,344,870,813,649
gene-neil3|neil3,22,24,21,0,24
gene-aga|aga,81,87,162,87,89
gene-asb5|asb5,12,14,0,0,14
gene-spata4|spata4,0,0,0,0,0
gene-gpm6a|gpm6a,5,0,3,0,0
gene-egf|egf,0,12,10,0,0
gene-pitx2|pitx2,0,5,0,0,20
gene-elovl6|elovl6,1019,1071,1320,989,600
gene-tdo2|tdo2,46879,45853,34308,23473,31738
gene-ctso|ctso,205,223,308,210,263
gene-LOC109626024|LOC109626024,311,282,279,99,313
gene-gar1|gar1,316,232,769,296,512
gene-LOC109626046|LOC109626046,14,14,39,56,30
gene-cxcl14|cxcl14,100,242,133,226,126
gene-LOC109626035|LOC109626035,7485,5206,4492,5465,5115
gene-klhl3|klhl3,452,297,279,179,358
gene-fam13b|fam13b,506,494,950,2511,516
gene-LOC109627758|LOC109627758,625,477,1362,904,1066
gene-LOC109625227|LOC109625227,3163,2227,2753,1530,3093
gene-ctbp1|ctbp1,51,63,135,124,90
gene-maea|maea,493,440,668,312,604
gene-LOC109624828|LOC109624828,531,529,448,414,495
gene-fgfrl1|fgfrl1,1067,1599,1247,777,1654
gene-LOC109633529|LOC109633529,17,27,31,31,25
gene-LOC109626367|LOC109626367,12,14,5,13,22
gene-LOC109633604|LOC109633604,32,5,19,9,10
gene-LOC109626259|LOC109626259,23,12,15,13,0
gene-LOC109628683|LOC109628683,10,0,8,0,6
gene-LOC109626374|LOC109626374,0,0,0,0,0
gene-LOC109626347|LOC109626347,24,41,39,21,38
gene-cops6|cops6,310,228,608,250,410
gene-LOC109632179|LOC109632179,0,0,39,0,18
gene-bod1l1|bod1l1,109,96,133,71,98
gene-fbxl12|fbxl12,192,155,214,29,174
gene-rab28|rab28,136,116,164,66,113
gene-hs3st1|hs3st1,10,29,8,15,26
gene-clnk|clnk,0,11,12,14,18
gene-LOC109626813|LOC109626813,163,158,145,245,147
gene-LOC109626798|LOC109626798,95,82,101,120,93
gene-gsr|gsr,323,258,562,282,384
gene-slc30a9|slc30a9,218,183,525,182,391
gene-shisa3|shisa3,32,24,17,15,33
gene-LOC109627682|LOC109627682,0,12,8,0,0
gene-atp8a1|atp8a1,111,92,79,65,71
gene-LOC109627689|LOC109627689,1507,1409,1576,988,1024
gene-LOC109624716|LOC109624716,17,0,0,0,0
gene-LOC109628482|LOC109628482,160,256,157,169,212
gene-LOC109624159|LOC109624159,0,0,0,0,0
