gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
gene-LOC109633196|LOC109633196,14,17,16,0,12,8,0,0
gene-LOC109628151|LOC109628151,445,369,420,201,425,373,465,442
gene-ikbkap|ikbkap,277,200,265,102,257,167,233,322
gene-arhgef37|arhgef37,41,43,30,15,36,47,35,58
gene-LOC109628111|LOC109628111,84,98,144,254,87,123,102,89
gene-LOC109633255|LOC109633255,179,157,201,102,173,230,327,432
gene-pde6a|pde6a,27,0,0,26,34,53,22,0
gene-slc26a2|slc26a2,74,123,239,151,175,152,200,209
gene-atox1|atox1,769,543,1418,1030,941,752,1030,2298
gene-sparc|sparc,603,838,961,812,757,513,681,878
gene-htr4|htr4,0,0,2,0,0,0,0,0
gene-LOC109624919|LOC109624919,0,0,0,0,0,0,0,0
gene-lman2|lman2,665,774,1799,908,1175,1475,2155,5446
gene-fat2|fat2,6,3,0,4,0,7,2,8
gene-LOC109627568|LOC109627568,368,257,515,490,455,290,304,476
gene-g3bp1|g3bp1,323,289,745,688,551,263,348,1021
gene-neil3|neil3,20,21,19,0,22,7,11,0
gene-aga|aga,69,77,142,76,80,110,129,120
gene-LOC109627387|LOC109627387,0,0,0,5,2,0,8,3
gene-pitx2|pitx2,0,5,0,0,17,10,0,0
gene-LOC109626024|LOC109626024,238,197,209,74,235,201,397,461
gene-asb5|asb5,9,10,0,0,9,10,0,0
gene-spata4|spata4,0,0,0,0,0,0,0,0
gene-gpm6a|gpm6a,0,0,3,0,0,0,0,0
gene-LOC109625417|LOC109625417,0,0,0,0,0,0,0,0
gene-tdo2|tdo2,38065,38506,28826,19583,26407,22805,27465,64403
gene-ctso|ctso,184,199,290,191,227,294,282,313
gene-egf|egf,5,13,7,0,2,0,0,0
gene-elovl6|elovl6,946,921,1133,847,499,1057,1534,1933
gene-cxcl14|cxcl14,86,193,109,192,109,90,87,133
gene-LOC109626046|LOC109626046,14,12,31,44,27,18,35,78
gene-gar1|gar1,258,179,630,236,411,155,207,637
gene-LOC109626035|LOC109626035,5823,4128,3512,4390,4003,4335,5095,6283
gene-fam13b|fam13b,456,447,823,2189,453,565,717,1048
gene-klhl3|klhl3,364,225,234,148,302,229,336,289
gene-LOC109627758|LOC109627758,578,446,1249,831,995,501,663,3004
gene-LOC109625227|LOC109625227,2913,2072,2500,1425,2789,1204,813,686
gene-maea|maea,435,374,580,259,527,373,475,600
gene-ctbp1|ctbp1,46,56,119,101,79,62,110,101
gene-LOC109624828|LOC109624828,418,420,332,314,381,607,481,210
gene-LOC109632179|LOC109632179,0,0,23,0,11,0,32,0
gene-bod1l1|bod1l1,85,72,102,67,81,62,86,148
gene-rab28|rab28,109,102,144,63,100,76,69,94
gene-hs3st1|hs3st1,9,25,8,13,25,18,29,43
gene-clnk|clnk,0,13,14,13,18,0,10,0
gene-LOC109626798|LOC109626798,101,82,94,111,83,80,120,149
gene-LOC109626813|LOC109626813,117,126,101,195,139,109,158,217
gene-gsr|gsr,296,234,529,264,360,243,348,489
gene-slc30a9|slc30a9,175,159,472,152,352,173,204,326
gene-LOC109626374|LOC109626374,0,0,0,0,0,0,0,0
gene-LOC109626347|LOC109626347,25,39,39,23,37,47,30,13
gene-LOC109628683|LOC109628683,10,0,6,0,7,12,3,0
gene-LOC109626259|LOC109626259,20,10,12,0,13,34,17,0
gene-LOC109633697|LOC109633697,0,0,0,0,0,0,0,0
gene-fbxl12|fbxl12,146,105,165,18,129,87,145,208
gene-fgfrl1|fgfrl1,776,1180,954,581,1256,1199,1078,1123
gene-LOC109633529|LOC109633529,13,22,22,20,24,13,19,0
gene-LOC109626367|LOC109626367,10,11,7,11,17,13,14,0
gene-LOC109633604|LOC109633604,25,0,17,9,0,14,8,0
gene-cops6|cops6,295,216,567,241,389,230,334,559
gene-grxcr1|grxcr1,0,0,0,0,0,0,0,0
gene-shisa3|shisa3,28,20,15,15,24,26,17,12
gene-LOC109627682|LOC109627682,0,13,9,0,0,6,0,14
gene-atp8a1|atp8a1,100,81,72,58,63,116,55,52
gene-LOC109627689|LOC109627689,1228,1096,1235,779,791,1276,1903,1232
gene-smyd5|smyd5,222,285,403,235,296,254,273,313
gene-LOC109624159|LOC109624159,0,0,0,0,0,0,0,0
gene-trnal-caa|trnal-caa,0,0,0,0,0,0,0,0
gene-LOC109624610|LOC109624610,4,0,0,0,0,0,0,0
gene-LOC109624716|LOC109624716,19,0,0,0,0,0,0,8
gene-LOC109628482|LOC109628482,138,199,121,132,164,160,151,85
gene-LOC109624300|LOC109624300,100,87,60,26,101,78,99,122
gene-LOC109624903|LOC109624903,8,0,0,0,0,3,0,0
gene-enox2|enox2,52,93,86,57,105,53,97,126
gene-abcc5|abcc5,2479,4060,2000,1235,1261,2169,2073,997
gene-med12|med12,1044,831,902,389,1152,913,843,864
gene-mars2|mars2,74,61,63,18,82,32,25,70
gene-LOC109628053|LOC109628053,29,38,73,39,52,45,50,34
gene-timm8a|timm8a,540,371,453,274,433,313,306,443
gene-btk|btk,131,81,120,94,139,79,104,85
gene-LOC109627058|LOC109627058,45745,31995,43090,48597,39219,35702,40362,50012
gene-gla|gla,211,170,219,176,159,149,176,234
gene-pcdh19|pcdh19,33,65,60,22,62,61,56,34
gene-LOC109628011|LOC109628011,263,268,412,209,375,255,342,289
gene-diaph2|diaph2,493,522,714,746,517,608,622,708
gene-sept6|sept6,746,651,964,438,858,528,687,709
gene-ube2a|ube2a,655,740,1140,919,573,750,1084,1404
gene-nkrf|nkrf,1048,1119,897,559,830,899,896,959
gene-LOC109626412|LOC109626412,7,0,25,9,16,11,13,30
gene-sowahd|sowahd,143,129,135,73,177,143,173,208
gene-rpl39|rpl39,12647,10428,12752,13430,9204,9603,11128,10789
gene-upf3b|upf3b,482,464,613,218,491,463,599,795
gene-ndufa1|ndufa1,2360,1957,2623,2215,2225,1582,1651,1814
gene-nkap|nkap,498,318,397,245,495,331,368,433
gene-atp1b4|atp1b4,0,0,0,0,6,10,12,0
gene-cul4b|cul4b,251,198,339,197,257,240,290,409
gene-lamp2|lamp2,3143,3063,4106,2062,3668,3101,3477,3441
gene-mcts1|mcts1,490,372,493,416,583,457,518,482
gene-c1galt1c1|c1galt1c1,498,536,944,561,839,685,819,1361
gene-LOC109624389|LOC109624389,0,3,0,0,0,0,0,0
gene-LOC109634004|LOC109634004,184,132,202,202,167,179,186,173
gene-LOC109634076|LOC109634076,0,0,0,0,0,0,2,10
gene-ocrl|ocrl,178,196,180,70,294,173,228,229
gene-xpnpep2|xpnpep2,105,106,93,51,69,124,72,43
gene-sash3|sash3,13,7,16,0,16,19,22,12
gene-apln|apln,1744,1379,1152,541,825,1416,1123,423
gene-zdhhc9|zdhhc9,95,75,129,116,100,90,106,117
gene-trmt12|trmt12,34,42,41,24,18,55,39,78
gene-sytl4|sytl4,116,91,201,63,176,86,98,71
gene-srpx2|srpx2,23,31,21,20,15,22,23,29
gene-tspan6|tspan6,2701,2871,2632,2464,2790,2803,3476,4411
gene-LOC109628440|LOC109628440,520,501,982,1137,591,652,1035,913
gene-arl13a|arl13a,0,0,0,0,0,0,0,0
gene-tmem35a|tmem35a,80,67,123,163,102,204,282,414
gene-cenpi|cenpi,0,0,23,0,22,8,23,10
gene-bcorl1|bcorl1,170,125,182,605,111,174,207,254
gene-trnav-uac|trnav-uac,0,0,0,0,0,0,0,0
gene-cstf2|cstf2,288,282,261,159,359,257,325,354
gene-nox1|nox1,0,11,11,0,10,18,7,11
gene-xkrx|xkrx,237,239,229,167,153,246,269,331
gene-slc9a6|slc9a6,169,158,349,107,170,231,267,415
gene-LOC109634237|LOC109634237,0,0,0,0,0,0,0,0
gene-LOC109625847|LOC109625847,375,358,395,182,443,352,329,339
gene-LOC109625905|LOC109625905,73,152,169,159,128,148,114,125
gene-taf7l|taf7l,506,380,274,131,451,308,260,207
gene-arhgef6|arhgef6,637,590,754,353,601,579,669,628
gene-rbmx|rbmx,351,553,901,586,439,837,958,975
gene-LOC109625043|LOC109625043,1248,1543,2397,1597,2264,1669,1366,2012
gene-LOC109634376|LOC109634376,16,13,28,60,9,7,21,88
gene-fgf13|fgf13,0,0,0,0,0,0,4,0
gene-atp11c|atp11c,284,309,314,170,345,254,248,290
gene-LOC109627999|LOC109627999,42,40,41,79,28,28,37,39
gene-pdzd11|pdzd11,150,172,159,88,135,118,150,235
gene-LOC109627100|LOC109627100,0,0,3,0,0,0,0,1
gene-LOC109625236|LOC109625236,29,36,87,59,51,64,118,181
gene-arr3|arr3,0,0,0,0,0,0,14,20
gene-rab41|rab41,1056,1147,1414,1048,1406,810,862,1758
gene-LOC109627091|LOC109627091,4,0,1,3,0,0,0,4
gene-p2ry4|p2ry4,932,847,571,326,676,614,505,247
gene-LOC109625283|LOC109625283,3,5,6,0,0,0,16,8
gene-LOC109628039|LOC109628039,93,80,118,65,98,80,88,128
gene-dlg3|dlg3,3148,2542,2899,2190,2842,3619,3969,5871
gene-LOC109624935|LOC109624935,1197,938,1398,370,1099,1142,1174,1790
gene-tex11|tex11,10,0,0,0,0,0,0,0
gene-LOC109626925|LOC109626925,1403,1575,1434,1272,1213,1125,1257,1632
gene-LOC109626361|LOC109626361,0,8,17,7,26,0,23,26
gene-LOC109626955|LOC109626955,6,15,31,14,0,0,6,20
gene-slc25a43|slc25a43,125,231,202,99,159,128,117,294
gene-LOC109627855|LOC109627855,0,0,0,0,0,0,0,0
gene-mrpl11|mrpl11,17,16,74,28,63,30,31,46
gene-fosl1|fosl1,32,70,110,459,42,17,75,391
gene-yif1a|yif1a,543,490,1066,481,847,503,876,1909
gene-LOC109627700|LOC109627700,49,40,47,16,25,14,35,58
gene-LOC109627799|LOC109627799,1092,1068,1593,817,1140,1117,1356,2314
gene-LOC109626519|LOC109626519,2018,1588,3801,2013,2433,1387,1682,1329
gene-LOC109626511|LOC109626511,267,321,360,420,497,277,328,318
gene-LOC109628604|LOC109628604,654,535,776,324,617,729,731,1074
gene-LOC109628045|LOC109628045,407,283,318,436,194,308,444,781
gene-LOC109628952|LOC109628952,178,96,121,64,196,144,111,101
gene-alg13|alg13,214,133,234,176,236,157,204,288
gene-LOC109625519|LOC109625519,293,233,409,232,314,261,284,364
gene-LOC109625485|LOC109625485,1731,2015,1146,602,1307,1499,1606,1334
gene-LOC109625926|LOC109625926,38,55,120,61,55,40,61,128
gene-rasgef1c|rasgef1c,16,42,27,68,0,31,26,29
gene-LOC109628677|LOC109628677,29,21,51,30,38,29,50,57
gene-LOC109626559|LOC109626559,14,5,27,14,17,26,17,24
gene-LOC109626552|LOC109626552,215,307,449,295,373,277,454,635
gene-LOC109625913|LOC109625913,1834,1540,1627,978,1360,2072,2570,2439
gene-col23a1|col23a1,4,0,0,2,7,4,5,0
gene-gfpt2|gfpt2,84,70,91,92,75,55,51,103
gene-LOC109624870|LOC109624870,19,13,159,24,22,37,67,51
gene-LOC109628268|LOC109628268,6602,4674,5201,3526,4068,5182,7012,7572
gene-LOC109634664|LOC109634664,15,17,13,9,28,22,11,19
gene-arsi|arsi,3,0,3,0,0,0,0,0
gene-LOC109628826|LOC109628826,154,147,299,153,263,155,144,360
gene-tmco6|tmco6,248,238,232,188,262,194,284,378
gene-LOC109624254|LOC109624254,624,542,1262,554,864,572,979,455
gene-LOC109626425|LOC109626425,459,394,594,748,409,463,587,819
gene-simc1|simc1,106,73,107,55,146,73,86,134
gene-LOC109624245|LOC109624245,0,0,0,0,0,0,0,0
gene-LOC109624799|LOC109624799,0,0,0,0,0,0,0,0
gene-LOC109627412|LOC109627412,38,51,57,7,73,30,48,41
gene-LOC109624564|LOC109624564,0,0,0,0,0,0,0,0
gene-LOC109624180|LOC109624180,30,17,13,10,17,44,166,198
gene-LOC109625731|LOC109625731,0,0,12,14,0,0,0,10
gene-LOC109626327|LOC109626327,4,0,15,40,0,0,5,0
gene-hmgxb3|hmgxb3,151,157,210,128,139,77,137,159
gene-csf1r|csf1r,118,226,368,44,286,144,102,190
