transcript_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
rna-XM_020092882.1,14,17,16,0,12,8,0,0
rna-XM_020085119.1,445,369,420,201,425,373,465,442
rna-XM_020083438.1,277,200,265,102,257,167,233,322
rna-XR_002202605.1,0,0,0,0,0,0,0,0
rna-XM_020084156.1,0,0,0,0,0,0,0,0
rna-XM_020084133.1,0,0,0,0,0,0,0,0
rna-XM_020084143.1,0,0,0,0,0,0,0,0
rna-XM_020084123.1,41,43,30,15,36,47,35,58
rna-XM_020085078.1,84,98,144,254,87,123,102,89
rna-XM_020093021.1,179,157,201,102,173,230,327,432
rna-XM_020079439.1,27,0,0,26,34,53,22,0
rna-XM_020080107.1,74,123,239,151,175,152,200,209
rna-XM_020079858.1,769,543,1418,1030,941,752,1030,2298
rna-XM_020085097.1,582,829,942,812,749,513,681,878
rna-XM_020085106.1,21,9,19,0,8,0,0,0
rna-XM_020078829.1,0,0,2,0,0,0,0,0
rna-XM_020079850.1,0,0,0,0,0,0,0,0
rna-XM_020084957.1,665,774,1799,908,1175,1475,2155,5446
rna-XM_020083506.1,6,3,0,4,0,7,2,8
rna-XM_020084167.1,368,257,515,490,455,290,304,476
rna-XM_020083820.1,323,289,745,688,551,263,348,1021
rna-XM_020085387.1,20,21,19,0,22,7,11,0
rna-XM_020085399.1,69,77,142,76,80,110,129,120
rna-XM_020083895.1,0,0,0,5,2,0,8,3
rna-XM_020078507.1,0,5,0,0,17,10,0,0
rna-XM_020078810.1,0,0,0,0,0,0,0,0
rna-XM_020078732.1,0,0,0,0,0,0,0,0
rna-XM_020078578.1,0,0,0,0,0,0,0,0
rna-XM_020078650.1,0,0,0,0,0,0,0,0
rna-XM_020081688.1,238,197,209,74,235,201,397,461
rna-XM_020080641.1,0,0,0,0,0,0,0,0
rna-XM_020080648.1,0,0,0,0,0,0,0,0
rna-XM_020080664.1,0,0,0,0,0,10,0,0
rna-XM_020093264.1,0,0,0,0,0,0,0,0
rna-XM_020080685.1,0,0,0,0,0,0,0,0
rna-XM_020080677.1,0,0,3,0,0,0,0,0
rna-XM_020080630.1,0,0,0,0,0,0,0,0
rna-XM_020080743.1,38065,38506,28826,19583,26407,22805,27465,64403
rna-XM_020080860.1,184,199,290,191,227,294,282,313
rna-XM_020080656.1,9,10,0,0,9,0,0,0
rna-XM_020080711.1,5,13,7,0,2,0,0,0
rna-XM_020080698.1,946,921,1133,847,499,1057,1534,1933
rna-XM_020086273.1,86,193,109,192,109,90,87,133
rna-XM_020081717.1,0,0,0,0,0,0,0,0
rna-XM_020081727.1,258,179,630,236,411,155,207,637
rna-XM_020081698.1,5823,4128,3512,4390,4003,4335,5095,6283
rna-XM_020081709.1,14,12,31,44,27,18,35,78
rna-XM_020082751.1,0,153,0,0,302,0,565,0
rna-XM_020082776.1,0,0,0,139,0,127,0,131
rna-XM_020082758.1,0,0,377,0,0,0,0,51
rna-XM_020082742.1,386,259,224,164,57,0,81,52
rna-XM_020082792.1,52,0,16,174,0,0,0,53
rna-XM_020082801.1,12,35,204,1333,87,427,56,660
rna-XM_020082784.1,4,0,1,161,0,0,15,47
rna-XM_020082768.1,2,0,1,218,7,11,0,54
rna-XM_020085833.1,364,225,234,148,302,229,336,289
rna-XM_020084529.1,578,446,1249,831,995,501,663,3004
rna-XM_020080380.1,2913,2072,2500,1425,2789,1204,813,686
rna-XM_020080362.1,404,123,575,256,465,370,446,548
rna-XM_020080371.1,31,251,5,3,62,3,29,52
rna-XM_020089316.1,46,56,119,101,79,62,110,101
rna-XM_020079748.1,418,420,332,314,381,607,481,210
rna-XM_020091726.1,0,0,23,0,11,0,32,0
rna-XM_020084708.1,85,72,102,67,81,62,86,148
rna-XM_020083364.1,109,102,144,63,100,76,69,94
rna-XM_020083103.1,9,25,8,13,25,18,29,43
rna-XM_020093888.1,0,13,14,13,18,0,10,0
rna-XM_020082972.1,0,0,0,111,0,0,56,0
rna-XM_020082984.1,117,126,101,195,139,109,158,217
rna-XM_020082964.1,101,82,94,0,83,80,64,149
rna-XM_020086014.1,28,129,359,31,73,135,64,412
rna-XM_020086023.1,268,105,170,233,287,108,284,77
rna-XM_020085580.1,175,159,472,152,352,173,204,326
rna-XR_002202532.1,0,0,0,0,0,0,0,0
rna-XM_020082233.1,0,0,0,0,0,0,0,0
rna-XM_020082240.1,0,0,0,0,0,0,0,0
rna-XM_020085959.1,0,0,0,0,0,0,0,0
rna-XM_020082151.1,0,0,0,0,0,0,0,0
rna-XM_020093758.1,0,0,0,0,0,0,0,0
rna-XR_002203387.1,0,33,0,0,18,0,31,0
rna-XM_020084074.1,776,1180,954,581,1256,1199,1078,1123
rna-XM_020082225.1,25,39,39,23,37,47,30,13
rna-XM_020093523.1,13,22,22,20,24,13,19,0
rna-XM_020082253.1,10,11,7,11,17,13,14,0
rna-XM_020093646.1,25,0,17,9,0,14,8,0
rna-XM_020085952.1,10,0,6,0,7,12,3,0
rna-XM_020082066.1,20,10,12,0,13,34,17,0
rna-XM_020078453.1,295,216,567,241,389,230,334,559
