gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
gene-pde6a|pde6a,22,8,10,24,30,48,18,0
gene-arhgef37|arhgef37,52,51,40,16,36,52,48,69
gene-LOC109628151|LOC109628151,505,381,465,220,488,421,467,456
gene-LOC109633196|LOC109633196,16,18,20,9,14,10,6,0
gene-ikbkap|ikbkap,330,240,291,122,310,193,265,355
gene-LOC109628111|LOC109628111,84,93,142,236,88,114,86,89
gene-LOC109633255|LOC109633255,167,145,224,123,177,258,339,494
gene-htr4|htr4,0,0,0,0,0,0,0,0
gene-LOC109624919|LOC109624919,0,0,0,0,0,0,0,0
gene-LOC109630321|LOC109630321,0,0,0,0,0,0,0,0
gene-LOC109633322|LOC109633322,0,0,0,0,0,0,0,0
gene-slc26a2|slc26a2,88,147,288,160,192,172,218,242
gene-lman2|lman2,784,822,1901,1003,1260,1558,2285,5877
gene-fat2|fat2,9,4,0,5,0,7,5,6
gene-LOC109627568|LOC109627568,417,262,561,505,504,314,308,503
gene-atox1|atox1,764,536,1390,977,906,719,946,2159
gene-sparc|sparc,621,848,983,828,794,520,683,866
gene-g3bp1|g3bp1,324,288,717,676,527,259,334,983
gene-egf|egf,0,14,9,0,3,5,0,0
gene-pitx2|pitx2,0,5,0,0,17,9,0,0
gene-elovl6|elovl6,876,861,1057,789,496,962,1405,1765
gene-LOC109626024|LOC109626024,265,228,233,78,253,247,446,514
gene-gar1|gar1,266,195,657,256,446,168,254,649
gene-LOC109627387|LOC109627387,0,0,0,7,2,0,7,3
gene-asb5|asb5,10,12,0,0,13,15,5,0
gene-spata4|spata4,0,0,0,0,0,0,0,0
gene-gpm6a|gpm6a,4,0,3,0,0,0,0,0
gene-neil3|neil3,19,19,18,0,19,5,11,5
gene-aga|aga,69,66,138,71,73,106,109,120
gene-tdo2|tdo2,39582,38388,28712,19428,26517,23107,26915,64155
gene-ctso|ctso,176,204,276,193,224,279,264,300
gene-LOC109626046|LOC109626046,10,11,31,50,21,16,35,75
gene-LOC109627236|LOC109627236,0,0,0,0,4,0,0,0
gene-LOC109626035|LOC109626035,6231,4260,3692,4447,4194,4550,5139,6309
gene-LOC109626367|LOC109626367,11,12,6,13,20,13,11,7
gene-LOC109633529|LOC109633529,14,22,28,25,23,15,21,0
gene-LOC109628683|LOC109628683,9,0,7,0,4,15,3,0
gene-LOC109633604|LOC109633604,29,5,17,9,6,15,7,0
gene-LOC109626259|LOC109626259,22,12,12,0,0,33,15,0
gene-cops6|cops6,255,192,508,211,339,197,297,493
gene-LOC109626374|LOC109626374,0,0,0,0,0,0,0,0
gene-LOC109626347|LOC109626347,16,35,35,15,33,37,22,8
gene-LOC109632179|LOC109632179,0,0,34,0,14,6,31,0
gene-fbxl12|fbxl12,165,116,187,25,143,104,164,255
gene-bod1l1|bod1l1,93,82,106,55,81,64,77,153
gene-shisa3|shisa3,28,21,14,12,26,25,16,13
gene-LOC109627682|LOC109627682,0,11,7,0,0,0,0,10
gene-atp8a1|atp8a1,96,81,64,52,60,91,48,47
gene-trnai-uau|trnai-uau,0,0,0,0,0,0,0,0
gene-clnk|clnk,0,12,11,13,14,12,10,0
gene-grxcr1|grxcr1,0,0,0,0,0,0,0,0
gene-rab28|rab28,116,97,133,52,94,74,68,87
gene-hs3st1|hs3st1,8,24,7,13,21,16,23,29
gene-LOC109626813|LOC109626813,139,130,129,204,127,122,162,222
gene-LOC109626798|LOC109626798,85,70,87,100,83,74,105,129
gene-gsr|gsr,270,209,460,228,307,211,306,431
gene-slc30a9|slc30a9,178,151,435,158,332,175,198,303
gene-fam13b|fam13b,450,404,822,2075,424,530,663,951
gene-spon2|spon2,0,0,0,0,0,0,0,0
gene-rnf212|rnf212,0,0,0,0,0,0,0,0
gene-cxcl14|cxcl14,89,207,123,199,115,96,88,140
gene-klhl3|klhl3,391,256,248,149,303,225,354,284
gene-LOC109627758|LOC109627758,511,387,1107,711,880,427,562,2539
gene-LOC109625227|LOC109625227,2638,1830,2285,1230,2586,1069,711,601
gene-maea|maea,412,361,539,247,498,354,451,550
gene-ctbp1|ctbp1,42,53,121,103,80,58,107,103
gene-LOC109624828|LOC109624828,449,440,370,353,407,623,480,209
gene-fgfrl1|fgfrl1,928,1377,1045,674,1386,1365,1163,1220
gene-LOC109627689|LOC109627689,1378,1280,1414,866,914,1445,2093,1305
gene-LOC109624610|LOC109624610,12,3,0,0,0,0,0,0
gene-LOC109624716|LOC109624716,21,3,0,0,0,0,0,5
gene-smyd5|smyd5,240,301,427,231,308,255,281,319
gene-LOC109624159|LOC109624159,0,0,0,0,0,0,0,0
gene-trnal-caa|trnal-caa,0,0,0,0,0,0,0,0
gene-LOC109628482|LOC109628482,131,207,136,147,190,165,152,80
gene-LOC109624300|LOC109624300,88,78,67,23,95,71,102,102
gene-LOC109624903|LOC109624903,8,0,0,0,0,3,0,0
gene-pcdh19|pcdh19,28,55,57,23,63,50,48,23
gene-enox2|enox2,52,86,79,59,95,46,98,108
gene-med12|med12,925,753,809,348,1025,814,728,759
gene-btk|btk,115,66,103,85,139,75,92,74
gene-LOC109629295|LOC109629295,0,0,0,0,0,0,0,0
gene-abcc5|abcc5,2425,3778,1877,1118,1185,2029,1898,930
gene-mars2|mars2,78,59,58,16,87,34,26,75
gene-LOC109628053|LOC109628053,32,34,71,38,52,38,39,25
gene-timm8a|timm8a,499,345,425,244,376,284,262,367
gene-LOC109627058|LOC109627058,37663,26448,35246,39267,32212,29350,32320,39855
gene-gla|gla,233,184,228,188,184,150,184,256
gene-diaph2|diaph2,451,477,680,673,487,547,563,656
gene-LOC109634376|LOC109634376,15,8,27,59,8,9,17,93
gene-fgf13|fgf13,0,0,0,0,0,0,4,0
gene-atp11c|atp11c,280,296,286,164,313,255,249,262
gene-LOC109627999|LOC109627999,38,43,39,74,31,28,35,41
gene-pdzd11|pdzd11,117,127,125,73,114,90,113,172
gene-LOC109627100|LOC109627100,0,0,2,0,0,0,0,1
gene-LOC109625236|LOC109625236,34,42,80,57,45,61,126,191
gene-arr3|arr3,0,0,12,0,0,0,11,19
gene-rab41|rab41,968,1047,1283,914,1307,722,755,1568
gene-LOC109627091|LOC109627091,3,0,3,3,0,0,0,4
gene-p2ry4|p2ry4,885,813,578,318,659,610,489,228
gene-LOC109625283|LOC109625283,5,5,7,0,6,3,22,13
gene-dlg3|dlg3,2830,2273,2515,1901,2500,3161,3434,5007
gene-LOC109624935|LOC109624935,1191,915,1350,337,1061,1113,1101,1690
gene-tex11|tex11,10,0,0,0,0,0,0,0
gene-tnmd|tnmd,0,0,0,5,0,0,0,0
gene-LOC109628011|LOC109628011,249,241,381,183,338,222,298,250
gene-trnae-uuc|trnae-uuc,0,0,0,0,0,0,0,0
gene-sept6|sept6,691,573,899,402,806,492,622,635
gene-tmem255a|tmem255a,0,0,0,0,0,0,0,0
gene-atp1b4|atp1b4,0,0,0,0,6,10,11,0
gene-LOC109624389|LOC109624389,0,3,7,0,0,0,0,0
gene-ocrl|ocrl,169,175,179,67,270,154,225,199
gene-LOC109634076|LOC109634076,0,0,0,0,0,0,2,5
gene-zdhhc9|zdhhc9,102,84,134,129,102,107,119,129
gene-sytl4|sytl4,112,92,211,67,174,84,93,63
gene-bcorl1|bcorl1,169,126,185,619,122,182,201,262
gene-trnav-uac|trnav-uac,0,0,0,0,0,0,0,0
gene-cstf2|cstf2,316,295,273,160,362,263,336,351
gene-cenpi|cenpi,0,8,24,0,20,9,23,9
gene-drp2|drp2,0,0,0,0,0,0,0,0
gene-LOC109625847|LOC109625847,371,356,404,185,419,377,307,332
gene-LOC109625016|LOC109625016,0,0,0,0,0,0,0,0
gene-LOC109634237|LOC109634237,0,0,0,0,0,0,0,0
gene-LOC109628262|LOC109628262,0,0,0,0,0,0,0,3
gene-LOC109634302|LOC109634302,0,0,0,0,0,0,0,0
gene-arhgef6|arhgef6,618,554,748,363,602,547,642,587
gene-LOC109625043|LOC109625043,1252,1496,2363,1512,2191,1642,1283,1877
gene-gpr101|gpr101,0,0,0,0,0,0,0,0
gene-LOC109626545|LOC109626545,0,0,0,0,0,0,0,0
gene-zic3|zic3,0,0,0,0,0,0,0,0
gene-LOC109626526|LOC109626526,0,0,0,0,0,0,0,0
gene-ube2a|ube2a,569,643,1011,810,516,658,958,1226
gene-nkrf|nkrf,945,984,791,527,777,820,831,871
gene-LOC109626412|LOC109626412,7,12,27,11,16,14,15,30
gene-sowahd|sowahd,140,116,132,75,179,140,186,190
gene-rpl39|rpl39,10130,8472,11371,11477,7796,8291,9318,8946
gene-upf3b|upf3b,452,461,608,209,486,451,594,751
gene-ndufa1|ndufa1,2014,1682,2224,1854,1892,1382,1410,1502
gene-nkap|nkap,506,338,410,250,481,357,375,446
gene-lamp2|lamp2,2875,2784,3741,1803,3385,2816,3098,3101
gene-cul4b|cul4b,238,192,306,178,234,234,267,386
gene-mcts1|mcts1,596,441,628,477,715,557,594,627
gene-c1galt1c1|c1galt1c1,488,490,974,554,830,690,833,1318
gene-LOC109634004|LOC109634004,179,118,191,178,139,167,180,158
gene-apln|apln,1551,1221,1019,494,725,1209,961,358
gene-xpnpep2|xpnpep2,113,98,88,50,63,113,71,39
gene-sash3|sash3,10,7,12,0,9,15,17,12
gene-trmt12|trmt12,37,36,40,30,15,61,37,74
gene-srpx2|srpx2,25,35,22,23,22,28,25,35
gene-tspan6|tspan6,2533,2689,2452,2248,2633,2603,3204,4008
gene-LOC109628440|LOC109628440,515,483,1007,1160,555,636,1025,946
gene-nox1|nox1,10,13,18,0,14,20,10,12
gene-xkrx|xkrx,234,224,218,167,141,219,257,295
gene-arl13a|arl13a,3,4,0,0,0,0,0,0
gene-tmem35a|tmem35a,77,66,117,153,94,193,274,396
gene-taf7l|taf7l,484,359,249,127,413,279,224,172
gene-slc9a6|slc9a6,186,164,386,112,186,251,309,416
gene-LOC109625905|LOC109625905,66,134,150,156,121,114,106,105
gene-rbmx|rbmx,310,488,798,509,396,732,804,858
gene-LOC109627855|LOC109627855,0,0,0,0,0,0,0,0
gene-mrpl11|mrpl11,15,13,70,26,51,23,29,43
gene-LOC109627799|LOC109627799,1145,1109,1665,814,1179,1122,1346,2225
gene-LOC109626361|LOC109626361,0,7,15,6,19,7,19,25
gene-fosl1|fosl1,27,61,106,402,39,20,74,350
gene-yif1a|yif1a,504,448,986,433,787,436,792,1723
gene-LOC109627700|LOC109627700,43,46,45,25,29,16,38,66
gene-LOC109626955|LOC109626955,6,12,29,8,0,0,7,22
gene-LOC109628039|LOC109628039,84,67,113,52,95,71,83,116
gene-LOC109626925|LOC109626925,1316,1490,1349,1195,1111,1051,1148,1537
gene-slc25a43|slc25a43,111,198,197,100,145,121,100,249
gene-LOC109625926|LOC109625926,33,56,109,52,53,39,58,126
gene-LOC109625485|LOC109625485,1595,1840,1073,545,1225,1401,1458,1179
gene-LOC109626519|LOC109626519,1926,1526,3602,1860,2310,1344,1530,1263
gene-LOC109626511|LOC109626511,234,308,327,392,455,253,301,271
gene-LOC109628604|LOC109628604,608,474,706,300,570,646,629,967
gene-LOC109628045|LOC109628045,418,280,307,420,192,296,454,746
gene-LOC109628952|LOC109628952,155,85,106,62,169,130,97,84
gene-alg13|alg13,223,133,206,173,223,153,190,295
