transcript_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
rna-XM_020079439.1,22,8,10,24,30,48,18,0
rna-XR_002202605.1,0,0,0,0,0,0,0,0
rna-XM_020084156.1,0,0,0,0,0,0,0,0
rna-XM_020084133.1,0,0,0,0,0,0,0,0
rna-XM_020084143.1,0,0,0,0,0,0,0,0
rna-XM_020085119.1,505,381,465,220,488,421,467,456
rna-XM_020092882.1,16,18,20,9,14,10,6,0
rna-XM_020083438.1,330,240,291,122,310,193,265,355
rna-XM_020084123.1,52,51,40,16,36,52,48,69
rna-XM_020085078.1,84,93,142,236,88,114,86,89
rna-XM_020093021.1,167,145,224,123,177,258,339,494
rna-XM_020078829.1,0,0,0,0,0,0,0,0
rna-XM_020079850.1,0,0,0,0,0,0,0,0
rna-XM_020088496.1,0,0,0,0,0,0,0,0
rna-XM_020093148.1,0,0,0,0,0,0,0,0
rna-XM_020080107.1,88,147,288,160,192,172,218,242
rna-XM_020084957.1,784,822,1901,1003,1260,1558,2285,5877
rna-XM_020083506.1,9,4,0,5,0,7,5,6
rna-XM_020084167.1,417,262,561,505,504,314,308,503
rna-XM_020079858.1,764,536,1390,977,906,719,946,2159
rna-XM_020085097.1,598,839,972,828,775,520,661,866
rna-XM_020085106.1,23,9,11,0,19,0,22,0
rna-XM_020083820.1,324,288,717,676,527,259,334,983
rna-XM_020080711.1,0,14,9,0,3,5,0,0
rna-XM_020078507.1,0,5,0,0,17,9,0,0
rna-XM_020078810.1,0,0,0,0,0,0,0,0
rna-XM_020078732.1,0,0,0,0,0,0,0,0
rna-XM_020078578.1,0,0,0,0,0,0,0,0
rna-XM_020078650.1,0,0,0,0,0,0,0,0
rna-XM_020080698.1,876,861,1057,789,496,962,1405,1765
rna-XM_020081688.1,265,228,233,78,253,247,446,514
rna-XM_020081727.1,266,195,657,256,446,168,254,649
rna-XM_020083895.1,0,0,0,7,2,0,7,3
rna-XM_020080641.1,0,0,0,0,0,0,0,0
rna-XM_020080648.1,0,0,0,0,0,0,0,0
rna-XM_020080664.1,0,0,0,0,0,15,0,0
rna-XM_020093264.1,0,0,0,0,0,0,0,0
rna-XM_020080685.1,0,0,0,0,0,0,0,0
rna-XM_020085387.1,19,19,18,0,19,5,11,5
rna-XM_020085399.1,69,66,138,71,73,106,109,120
rna-XM_020080743.1,39581,38388,28712,19428,26517,23107,26915,64155
rna-XM_020080860.1,176,204,276,193,224,279,264,300
rna-XM_020080656.1,10,12,0,0,13,0,5,0
rna-XM_020080677.1,4,0,3,0,0,0,0,0
rna-XM_020081717.1,0,0,0,0,0,0,0,0
rna-XR_002202593.1,0,0,0,0,0,0,0,0
rna-XM_020083732.1,0,0,0,0,4,0,0,0
rna-XM_020083813.1,0,0,0,0,0,0,0,0
rna-XM_020081698.1,6231,4260,3692,4447,4194,4550,5138,6309
rna-XM_020081709.1,10,11,31,50,21,16,35,75
rna-XM_020082253.1,11,12,6,13,20,13,11,7
rna-XM_020093523.1,14,22,28,25,23,15,21,0
rna-XM_020093646.1,29,5,17,9,6,15,7,0
rna-XM_020085959.1,0,0,0,0,0,0,0,0
rna-XM_020085952.1,9,0,7,0,4,15,3,0
rna-XM_020082151.1,0,0,0,0,0,0,0,0
rna-XM_020082066.1,22,12,12,0,0,33,15,0
rna-XM_020078453.1,255,192,508,211,339,197,297,493
rna-XM_020091726.1,0,0,34,0,14,6,31,0
rna-XR_002203387.1,0,40,0,0,13,0,14,0
rna-XM_020094588.1,165,76,187,25,130,104,150,255
rna-XR_002202532.1,0,0,0,0,0,0,0,0
rna-XM_020082233.1,0,0,0,0,0,0,0,0
rna-XM_020082240.1,0,0,0,0,0,0,0,0
rna-XM_020082225.1,16,35,35,15,33,37,22,8
rna-XM_020084708.1,93,82,106,55,81,64,77,153
rna-XM_020085433.1,28,21,14,12,26,25,16,13
rna-XM_020084414.1,0,11,7,0,0,0,0,10
rna-XM_020082869.1,0,0,0,0,0,0,0,0
rna-XM_020082878.1,0,0,0,0,0,0,0,0
rna-XM_020082887.1,0,0,0,0,0,0,0,0
rna-XM_020082894.1,0,0,0,0,0,0,0,0
rna-XM_020082861.1,69,81,34,52,60,68,48,47
rna-XM_020082853.1,27,0,30,0,0,23,0,0
rna-trnai-uau,0,0,0,0,0,0,0,0
rna-XM_020093888.1,0,12,11,13,14,12,10,0
rna-XM_020082907.1,0,0,0,0,0,0,0,0
rna-XM_020083364.1,116,97,133,52,94,74,68,87
rna-XM_020083103.1,8,24,7,13,21,16,23,29
