gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
gene-LOC109633196|LOC109633196,15,21,24,14,19,10,0,0
gene-LOC109628151|LOC109628151,564,458,533,262,561,485,570,573
gene-ikbkap|ikbkap,371,271,345,149,364,233,317,432
gene-arhgef37|arhgef37,60,55,45,19,41,61,50,78
gene-LOC109633255|LOC109633255,199,189,280,150,215,306,415,597
gene-pde6a|pde6a,29,8,12,28,33,56,24,0
gene-slc26a2|slc26a2,102,161,331,192,223,192,274,281
gene-LOC109628111|LOC109628111,103,114,172,289,99,137,114,106
gene-lman2|lman2,929,969,2235,1192,1494,1871,2720,7144
gene-fat2|fat2,12,5,0,5,0,6,5,9
gene-LOC109627568|LOC109627568,481,316,662,604,594,368,373,597
gene-atox1|atox1,898,640,1649,1182,1075,871,1174,2664
gene-sparc|sparc,740,1018,1173,1004,946,627,830,1077
gene-g3bp1|g3bp1,382,344,868,813,649,306,404,1209
gene-neil3|neil3,22,24,21,0,24,0,16,5
gene-aga|aga,81,87,162,87,89,124,144,140
gene-asb5|asb5,12,14,0,0,14,17,5,0
gene-spata4|spata4,0,0,0,0,0,0,0,0
gene-gpm6a|gpm6a,5,0,3,0,0,0,0,0
gene-egf|egf,0,12,10,0,0,4,0,0
gene-pitx2|pitx2,0,5,0,0,20,10,0,0
gene-elovl6|elovl6,1019,1071,1320,989,600,1216,1767,2187
gene-tdo2|tdo2,46879,45851,34307,23473,31738,27859,32902,78267
gene-ctso|ctso,205,223,308,210,263,338,315,351
gene-LOC109626024|LOC109626024,311,282,279,99,313,308,564,637
gene-gar1|gar1,316,232,769,296,512,197,274,773
gene-LOC109626046|LOC109626046,14,14,39,56,30,19,40,95
gene-cxcl14|cxcl14,100,242,133,226,126,117,111,161
gene-LOC109626035|LOC109626035,7485,5206,4492,5465,5115,5535,6396,7863
gene-klhl3|klhl3,447,297,279,178,355,278,409,347
gene-LOC109627758|LOC109627758,625,477,1362,904,1066,543,716,3228
gene-fam13b|fam13b,506,494,950,2511,516,628,811,1162
gene-LOC109625227|LOC109625227,3163,2227,2753,1529,3093,1317,881,749
gene-ctbp1|ctbp1,51,63,135,124,90,74,131,136
gene-maea|maea,493,440,668,312,604,424,557,690
gene-LOC109624828|LOC109624828,531,529,448,414,495,748,582,261
gene-fgfrl1|fgfrl1,1067,1599,1247,777,1654,1572,1420,1465
gene-LOC109633529|LOC109633529,17,27,31,31,25,17,23,0
gene-LOC109626367|LOC109626367,12,14,5,13,22,14,15,9
gene-LOC109633604|LOC109633604,32,5,19,9,10,17,8,0
gene-LOC109628683|LOC109628683,10,0,8,0,6,17,3,0
gene-LOC109626259|LOC109626259,23,12,15,13,0,42,19,0
gene-bod1l1|bod1l1,109,96,131,71,98,76,100,186
gene-LOC109632179|LOC109632179,0,0,39,0,18,7,35,0
gene-fbxl12|fbxl12,192,155,214,29,174,118,201,316
gene-cops6|cops6,310,228,608,250,410,244,354,595
gene-LOC109626374|LOC109626374,0,0,0,0,0,0,0,0
gene-LOC109626347|LOC109626347,24,41,39,21,38,45,29,10
gene-rab28|rab28,136,116,164,66,113,87,88,108
gene-hs3st1|hs3st1,10,29,8,15,26,18,33,44
gene-clnk|clnk,0,11,12,14,18,14,12,0
gene-LOC109626813|LOC109626813,163,158,145,245,147,137,191,255
gene-LOC109626798|LOC109626798,95,82,101,120,93,87,119,151
gene-gsr|gsr,323,258,562,282,384,263,383,536
gene-slc30a9|slc30a9,218,183,525,182,391,203,248,381
gene-shisa3|shisa3,32,24,17,15,33,32,19,17
gene-LOC109627682|LOC109627682,0,12,8,0,0,0,0,11
gene-atp8a1|atp8a1,111,92,79,65,71,123,62,58
gene-smyd5|smyd5,276,358,494,274,364,307,331,367
gene-LOC109627689|LOC109627689,1507,1409,1576,985,1024,1620,2474,1546
gene-LOC109624159|LOC109624159,0,0,0,0,0,0,0,0
gene-trnal-caa|trnal-caa,0,0,0,0,0,0,0,0
gene-LOC109624716|LOC109624716,17,0,0,0,0,0,0,4
gene-LOC109624610|LOC109624610,8,0,0,0,0,0,0,0
gene-LOC109624300|LOC109624300,102,94,82,31,111,90,131,134
gene-LOC109624903|LOC109624903,8,0,0,0,0,3,0,0
gene-LOC109628482|LOC109628482,160,256,157,169,211,195,189,99
gene-enox2|enox2,62,108,102,63,112,61,109,132
gene-abcc5|abcc5,2849,4600,2239,1376,1416,2426,2298,1132
gene-med12|med12,1107,888,968,409,1231,958,887,925
gene-mars2|mars2,86,72,73,18,99,39,32,87
gene-LOC109628053|LOC109628053,35,41,82,46,61,51,51,35
gene-timm8a|timm8a,592,406,509,309,473,347,336,473
gene-btk|btk,136,89,127,103,162,84,113,92
gene-LOC109627058|LOC109627058,47697,33493,45079,50867,41033,37547,42343,52378
gene-gla|gla,270,225,271,229,216,185,220,313
gene-pcdh19|pcdh19,33,70,62,25,74,64,56,34
gene-LOC109628011|LOC109628011,285,283,460,231,407,283,367,307
gene-diaph2|diaph2,533,588,788,808,561,669,702,778
gene-sept6|sept6,811,707,1088,491,981,595,768,776
