transcript_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
rna-XM_020092882.1,15,21,24,14,19,10,0,0
rna-XM_020085119.1,564,458,533,262,561,485,570,573
rna-XM_020083438.1,371,271,345,149,364,233,317,432
rna-XR_002202605.1,0,0,0,0,0,0,0,0
rna-XM_020084156.1,0,0,0,0,0,0,0,0
rna-XM_020084133.1,0,0,0,0,0,0,0,0
rna-XM_020084143.1,0,0,0,0,0,0,0,0
rna-XM_020084123.1,60,55,45,19,41,61,50,78
rna-XM_020093021.1,199,189,280,150,215,306,415,597
rna-XM_020079439.1,29,8,12,28,33,56,24,0
rna-XM_020080107.1,102,161,331,192,223,192,274,281
rna-XM_020085078.1,103,114,172,289,99,137,114,106
rna-XM_020084957.1,929,969,2235,1192,1494,1871,2720,7144
rna-XM_020083506.1,12,5,0,5,0,6,5,9
rna-XM_020084167.1,481,316,662,604,594,368,373,597
rna-XM_020079858.1,898,640,1649,1182,1075,871,1174,2664
rna-XM_020085097.1,715,1009,1160,1004,932,627,806,1077
rna-XM_020085106.1,25,9,13,0,14,0,24,0
rna-XM_020083820.1,382,344,868,813,649,306,404,1209
rna-XM_020085387.1,22,24,21,0,24,0,16,5
rna-XM_020085399.1,81,87,162,87,89,124,144,140
rna-XM_020080641.1,0,0,0,0,0,0,0,0
rna-XM_020080648.1,0,0,0,0,0,0,0,0
rna-XM_020080664.1,0,0,0,0,0,17,0,0
rna-XM_020080656.1,12,14,0,0,14,0,5,0
rna-XM_020093264.1,0,0,0,0,0,0,0,0
rna-XM_020080685.1,0,0,0,0,0,0,0,0
rna-XM_020080677.1,5,0,3,0,0,0,0,0
rna-XM_020080711.1,0,12,10,0,0,4,0,0
rna-XM_020078507.1,0,5,0,0,20,10,0,0
rna-XM_020078810.1,0,0,0,0,0,0,0,0
rna-XM_020078732.1,0,0,0,0,0,0,0,0
rna-XM_020078578.1,0,0,0,0,0,0,0,0
rna-XM_020078650.1,0,0,0,0,0,0,0,0
rna-XM_020080698.1,1019,1071,1320,989,600,1216,1767,2187
rna-XM_020080743.1,46879,45851,34307,23473,31738,27859,32902,78267
rna-XM_020080860.1,205,223,308,210,263,338,315,351
rna-XM_020081688.1,311,282,279,99,313,308,564,637
rna-XM_020081727.1,316,232,769,296,512,197,274,773
rna-XM_020081717.1,0,0,0,46,0,0,0,0
rna-XM_020081709.1,14,14,39,10,30,19,40,95
rna-XM_020086273.1,100,242,133,226,126,117,111,161
rna-XM_020081698.1,7485,5206,4492,5465,5115,5535,6396,7863
rna-XM_020085833.1,447,297,279,178,355,278,409,347
rna-XM_020084529.1,625,477,1362,904,1066,543,716,3228
rna-XM_020082751.1,0,377,0,0,6,19,615,0
rna-XM_020082776.1,0,0,0,282,0,11,0,31
rna-XM_020082758.1,0,0,790,0,0,0,0,202
rna-XM_020082742.1,433,61,64,427,37,0,95,158
rna-XM_020082801.1,57,41,75,442,23,35,77,478
rna-XM_020082792.1,14,0,19,456,175,298,22,89
rna-XM_020082768.1,1,15,1,458,0,0,1,116
rna-XM_020082784.1,1,0,1,446,275,265,1,88
rna-XM_020080380.1,3163,2227,2753,1529,3093,1317,881,749
rna-XM_020089316.1,51,63,135,124,90,74,131,136
rna-XM_020080362.1,470,343,663,280,489,421,517,632
rna-XM_020080371.1,23,97,5,32,115,3,40,58
rna-XM_020079748.1,531,529,448,414,495,748,582,261
rna-XM_020084074.1,1067,1599,1247,777,1654,1572,1420,1465
rna-XM_020093523.1,17,27,31,31,25,17,23,0
