"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LOC109629024|LOC109629024",232.009559546493,2.82042651974893,0.497025112761152,5.67461572329909,1.39000325795731e-08,0.00024486297392176
"gene-LOC109626020|LOC109626020",3480.81457734164,1.22337864159713,0.254788859951236,4.80153897557089,1.57450854717813e-06,0.00377035518596112
"gene-LOC109632292|LOC109632292",516.077230504367,4.16171797081561,0.869635583492897,4.78558841175754,1.70487116229143e-06,0.00377035518596112
"gene-lin28a|lin28a",40.9313345476864,21.3371029831598,4.40859857947623,4.83988337756411,1.29915343551602e-06,0.00377035518596112
"gene-LOC109636810|LOC109636810",243.603064062878,4.6706746591085,0.992972010749603,4.70373244013451,2.55447967837148e-06,0.00377035518596112
"gene-LOC109637784|LOC109637784",183.210041004692,2.95985896676204,0.631389515785538,4.68784940636772,2.760910580762e-06,0.00377035518596112
"gene-bco2|bco2",30.0487971877856,20.9550308502761,4.40903790125051,4.75274454872179,2.00673823817216e-06,0.00377035518596112
"gene-ulk2|ulk2",1656.04211585862,2.29038299545322,0.479989998884465,4.77173066267267,1.82649646223337e-06,0.00377035518596112
"gene-LOC109640890|LOC109640890",246.520205835394,1.67550353400952,0.357535134407275,4.68626261524531,2.78239199690591e-06,0.00377035518596112
"gene-LOC109641900|LOC109641900",368.177754452961,1.79978186877828,0.36598163561203,4.9176835492538,8.75743302704318e-07,0.00377035518596112
"gene-LOC109643392|LOC109643392",10983.4130041911,2.12436829622573,0.449286045150953,4.72832022973688,2.26384939498969e-06,0.00377035518596112
"gene-LOC109646396|LOC109646396",13544.534931147,3.47995351254209,0.732238405412965,4.75248701354237,2.00929679135131e-06,0.00377035518596112
"gene-kcne1|kcne1",26.6268609172855,20.7864571303428,4.4092521403253,4.71428180308357,2.42564772996905e-06,0.00377035518596112
"gene-LOC109644593|LOC109644593",644.160933494155,1.59759127185523,0.34308264588735,4.65657849793951,3.21507728749567e-06,0.00404548582118026
"gene-LOC109644348|LOC109644348",260.647633896007,3.96108713573447,0.857854042194461,4.61743716402115,3.88508265838499e-06,0.00456264107400733
"gene-LOC109627976|LOC109627976",17.8374116824534,20.2305985372622,4.4101724368459,4.58725794217037,4.49105667092734e-06,0.004944653394691
"gene-LOC109632994|LOC109632994",657.63686272157,3.91440175415624,0.896836080599033,4.36467916360106,1.27309470712357e-05,0.0131922566827582
"gene-LOC109633427|LOC109633427",28.9191178237414,8.12046738585574,1.87070914208923,4.34084978960797,1.41932729261114e-05,0.0138904831036877
"gene-angptl3|angptl3",805.823671692253,2.2652809877199,0.526473045071407,4.30274827728864,1.6869247025583e-05,0.0156404555580352
"gene-LOC109646207|LOC109646207",556.437724809466,-1.40912359609295,0.330423171257912,-4.26460284467476,2.00258087998174e-05,0.0176387323908791
"gene-LOC109630364|LOC109630364",2037.62154590901,3.24389802672701,0.772867444559791,4.19722431001693,2.70206277285447e-05,0.0218580541290245
"gene-cxcr4|cxcr4",178.786854681009,2.37960765163605,0.5672604422801,4.19491202677774,2.7297751523532e-05,0.0218580541290245
"gene-neurod2|neurod2",23.9300341438883,7.84226251356256,1.9175143873984,4.089806347791,4.31733496837444e-05,0.0330670316534279
"gene-p4ha2|p4ha2",693.453270744597,3.63412572726134,0.897695639072577,4.0482827019365,5.15948046096085e-05,0.0378705865834526
"gene-cunh14orf180|cunh14orf180",1025.24728059643,0.972708876144445,0.2410661079602,4.03502957912707,5.45954193523885e-05,0.0384701162924671
"gene-ell|ell",251.311852431937,1.49155197075086,0.372638376213429,4.00267945000001,6.26291313376694e-05,0.0408620288016438
"gene-LOC109640258|LOC109640258",13.1411234114452,6.98810343874339,1.74459914808912,4.00556394080413,6.18696942172795e-05,0.0408620288016438
"gene-LOC109634790|LOC109634790",667.222769972451,5.98092421836117,1.50302239299959,3.97926487736819,6.91286887344236e-05,0.0434918207409145
"gene-LOC109632575|LOC109632575",461.852630207919,2.34475186323386,0.599114123301993,3.91369819544706,9.08932297317717e-05,0.0533725044984963
